Data do Crime;RA;# Casos;Meio Utilizado;Local;Motivação;Idade - Vítima;Idade - Autor
22/03/2023;SAMAMBAIA;1;Asfixia;Interior de Residência;Ciúme;35;43
02/03/2023;RIACHO FUNDO II;1;Asfixia;Interior de Residência;Término Relacionamento;18;21
02/03/2023;TAGUATINGA;1;Agressão Física;Interior de Residência;Ciúme;25;28
13/02/2023;GAMA;1;Arma Branca;Ruas, praças, estacionamentos;Término Relacionamento;40;45
04/02/2023;CEILÂNDIA;1;Arma de Fogo;Interior de Residência;Ciúme;37;38
18/01/2023;CEILÂNDIA;1;Arma de Fogo;Interior de Residência;Ciúme;20;38
17/01/2023;PARK WAY;1;Arma de Fogo;Interior de Residência;Término Relacionamento;42;54
03/01/2023;SOBRADINHO II;1;Fogo;Interior de Residência;Não Informado;46;55
02/01/2023;CEILÂNDIA;1;Asfixia;Interior de Residência;Ciúme;26;51
01/01/2023;CEILÂNDIA;1;Asfixia;Interior de Residência;Ciúme;27;32
12/12/2022;RIACHO FUNDO II;1;Arma Branca;Interior de Residência;Ciúme;49;47
02/10/2022;CEILÂNDIA;1;Arma Branca;Ruas, praças, estacionamentos;Ciúme;31;29
17/09/2022;ITAPOÃ;1;Agressão Física;Interior de Residência;Ciúme;40;46
10/09/2022;TAGUATINGA;1;Asfixia;Outros;Ciúme;14;21
10/08/2022;POR DO SOL/SOL NASCENTE;1;Agressão Física;Interior de Residência;Término Relacionamento;35;38
07/08/2022;RECANTO DAS EMAS;1;Arma de Fogo;Interior de Residência;Ciúme;29;26
03/08/2022;CEILÂNDIA;1;Agressão Física;Interior de Residência;Ciúme;31;34
31/07/2022;ITAPOÃ;1;Arma Branca;Interior de Residência;Ciúme;43;23
29/06/2022;TAGUATINGA;1;Arma Branca;Interior de Residência;Ciúme;33;24
02/06/2022;RECANTO DAS EMAS;1;Asfixia;Lote vago, terreno abandonado;Ódio;19;40
18/05/2022;TAGUATINGA;1;Arma Branca;Ruas, praças, estacionamentos;Ciúme;29;34
07/05/2022;SAMAMBAIA;1;Arma Branca;Interior de Residência;Ciúme;26;28
30/03/2022;SOBRADINHO;1;Arma Branca;Interior de Residência;Término Relacionamento;33;45
20/03/2022;PLANALTINA;1;Asfixia;Interior de Residência;Ciúme;41;44
01/02/2022;PLANO PILOTO;1;Arma Branca;Ruas, praças, estacionamentos;Ciúme;51;26
25/01/2022;BRAZLÂNDIA;1;Agressão Física;Interior de Residência;Término Relacionamento;23;46
22/01/2022;SANTA MARIA;1;Arma Branca;Lote vago, terreno abandonado;Ódio;35;34
06/12/2021;SAMAMBAIA;1;Arma Branca;Ruas, praças, estacionamentos;Ciúme;34;36
29/11/2021;CEILÂNDIA;1;Arma Branca;Interior de Residência;Ciúme;20;22
31/10/2021;TAGUATINGA;1;Arma de Fogo;Hotel, motel ou pousada;Ciúme;25;21, 25, 27
17/10/2021;POR DO SOL/SOL NASCENTE;1;Arma de Fogo;Interior de Residência;Término Relacionamento;47;55
14/10/2021;GAMA;1;Arma de Fogo;Ruas, praças, estacionamentos;Término Relacionamento;33;42
03/10/2021;SANTA MARIA;1;Arma Branca;Interior de Residência;Outro;50;37
03/07/2021;SCIA E ESTRUTURAL;1;Arma de Fogo;Interior de Residência;Ciúme;40;33
20/06/2021;SOBRADINHO;1;Arma de Fogo;Interior de Residência;Término Relacionamento;27;36
17/06/2021;SOBRADINHO;1;Asfixia;Interior de Residência;Ciúme;41;41
08/06/2021;SOBRADINHO II;1;Arma Branca;Interior de Residência;Ciúme;33;28
06/06/2021;PLANALTINA;1;Arma Branca;Interior de Residência;Ciúme;37;30
23/05/2021;PARANOÁ;1;Arma Branca;Outros;Não Informado;48;46
09/05/2021;ITAPOÃ;1;Asfixia;Interior de Residência;Ciúme;22;23
02/05/2021;SÃO SEBASTIÃO;1;Arma Branca;Interior de Residência;Término Relacionamento;33;35
25/04/2021;SANTA MARIA;1;Arma Branca;Ruas, praças, estacionamentos;Ciúme;38;47
16/04/2021;PARANOÁ;1;Arma de Fogo;Ruas, praças, estacionamentos;Ciúme;35;32
12/04/2021;PARANOÁ;1;Agressão Física;Interior de Residência;Ciúme;41;43
11/04/2021;CEILÂNDIA;1;Arma Branca;Interior de Residência;Ciúme;40;39
26/03/2021;SAMAMBAIA;1;Asfixia;Interior de Residência;Ciúme;38;31
13/02/2021;TAGUATINGA;1;Arma Branca;Ruas, praças, estacionamentos;Ciúme;36;40
30/01/2021;SAMAMBAIA;1;Arma Branca;Interior de Residência;Ciúme;51;21
12/01/2021;SOBRADINHO;1;Arma de Fogo;Interior de Residência;Término Relacionamento;54;44
08/01/2021;CEILÂNDIA;1;Arma Branca;Interior de Residência;Ciúme;37;36
11/12/2020;POR DO SOL/SOL NASCENTE;1;Arma Branca;Interior de Residência;Outro;34;35
10/12/2020;PLANALTINA;1;Asfixia;Interior de Residência;Término Relacionamento;36, 65;42
10/10/2020;LAGO SUL;1;Asfixia;Interior de Residência;Outro;37;40
14/09/2020;CEILÂNDIA;1;Arma Branca;Outros;Término Relacionamento;39;35
20/08/2020;POR DO SOL/SOL NASCENTE;1;Arma Branca;Interior de Residência;Ciúme;35;34
30/07/2020;ÁGUAS CLARAS;1;Arma Branca;Interior de Residência;Não Informado;34;41
25/07/2020;SANTA MARIA;1;Arma Branca;Interior de Residência;Ciúme;25;23
04/07/2020;TAGUATINGA;1;Agressão Física;Interior de Residência;Ciúme;42;40
22/06/2020;RECANTO DAS EMAS;1;Arma de Fogo;Ruas, praças, estacionamentos;Ciúme;53;28
06/06/2020;CEILÂNDIA;1;Arma de Fogo;Interior de Residência;Ciúme;46;42
14/04/2020;ITAPOÃ;1;Arma Branca;Interior de Residência;Término Relacionamento;22;25
03/03/2020;RECANTO DAS EMAS;1;Arma Branca;Ruas, praças, estacionamentos;Ciúme;33;33
13/02/2020;VICENTE PIRES;1;Arma Branca;Interior de Residência;Outro;2;21
20/01/2020;NÚCLEO BANDEIRANTE;1;Arma Branca;Interior de Residência;Término Relacionamento;31;48
14/01/2020;SAMAMBAIA;1;Arma Branca;Interior de Residência;Ciúme;42;40
14/01/2020;SAMAMBAIA;1;Arma de Fogo;Interior de Residência;Término Relacionamento;18;31
06/01/2020;CANDANGOLÂNDIA;1;Agressão Física;Outros;Outro;23;20
23/12/2019;SUDOESTE;1;Arma Branca;Interior de Residência;Término Relacionamento;49;44
17/12/2019;PLANALTINA;1;Arma Branca;Lote vago, terreno abandonado;Não Informado;20;0
23/11/2019;VICENTE PIRES;1;Asfixia;Ruas, praças, estacionamentos;Ódio;39;32
15/11/2019;CEILÂNDIA;1;Asfixia;Interior de Residência;Ciúme;45;30
14/11/2019;SANTA MARIA;1;Arma Branca;Ruas, praças, estacionamentos;Ciúme;37;34
01/11/2019;SÃO SEBASTIÃO;1;Asfixia;Interior de Residência;Ciúme;26;43
18/10/2019;VICENTE PIRES;1;Arma de Fogo;Lote vago, terreno abandonado;Ciúme;38;43
29/09/2019;RIACHO FUNDO;1;Arma Branca;Interior de Residência;Ciúme;29;37
26/09/2019;FERCAL;1;Arma Branca;Interior de Residência;Ciúme;42;37
23/09/2019;SANTA MARIA;1;Fogo;Interior de Residência;Ciúme;35;34
12/09/2019;PARANOÁ;1;Arma Branca;Ruas, praças, estacionamentos;Ciúme;25;36
01/09/2019;PLANO PILOTO;1;Agressão Física;Ruas, praças, estacionamentos;Ódio;50;23
29/08/2019;SAMAMBAIA;1;Arma Branca;Ruas, praças, estacionamentos;Ciúme;41;45
23/08/2019;PLANALTINA;1;Asfixia;Ruas, praças, estacionamentos;Ódio;26;40
20/08/2019;TAGUATINGA;1;Arma Branca;Interior de Residência;Outro;67;37
08/08/2019;PARANOÁ;1;Asfixia;Interior de Residência;Ódio;68;38
12/06/2019;CRUZEIRO;1;Arma de Fogo;Interior de Residência;Ciúme;57;56
12/06/2019;PLANALTINA;1;Asfixia;Ruas, praças, estacionamentos;Ódio;47;40
20/05/2019;PLANO PILOTO;1;Arma de Fogo;Ruas, praças, estacionamentos;Término Relacionamento;43;51
